t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src
1786024122.173126,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.207812,0.0347,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.309971,0.1022,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.412721,0.1028,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.514713,0.1020,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.617199,0.1025,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.719005,0.1018,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.823261,0.1043,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024122.925634,0.1024,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.032532,0.1069,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.128515,0.0960,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.235010,0.1065,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.333838,0.0988,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.431207,0.0974,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.537456,0.1062,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.635576,0.0981,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.737220,0.1016,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786024123.842005,0.1048,0.20494197309017181,0.31247806549072266,0.0015,0.0018,0.0002,0.0000,0.0002,,enc
1786024123.942231,0.1002,4.163693428039551,4.728176116943359,0.0261,0.0096,0.0028,0.0000,0.0012,,enc
1786024124.043519,0.1013,10.859538078308105,11.128348350524902,0.0645,0.0046,0.0093,0.0000,0.0016,,enc
1786024124.149351,0.1058,20.14615249633789,20.17298698425293,0.1182,0.0005,0.0218,0.0000,0.0017,,enc
1786024124.247863,0.0985,23.446044921875,23.526447296142578,0.1377,0.0014,0.0354,0.0001,0.0018,,enc
1786024124.350079,0.1022,28.71135711669922,28.73823356628418,0.1685,0.0005,0.0526,0.0001,0.0018,,enc
1786024124.454436,0.1044,28.178192138671875,27.130155563354492,0.1622,-0.0178,0.0695,0.0001,-0.0000,,enc
1786024124.554379,0.0999,27.824954986572266,29.00745391845703,0.1666,0.0201,0.0862,0.0001,0.0020,,enc
1786024124.656826,0.1024,28.191055297851562,28.083755493164062,0.1650,-0.0018,0.1031,0.0002,0.0018,,enc
1786024124.762620,0.1058,24.836145401000977,24.836145401000977,0.1456,0.0000,0.1185,0.0002,0.0018,,enc
1786024124.865778,0.1032,26.275602340698242,26.275602340698242,0.1541,0.0000,0.1344,0.0002,0.0018,,enc
1786024124.967592,0.1018,26.51983070373535,24.477956771850586,0.1495,-0.0347,0.1496,0.0002,-0.0017,,enc
1786024125.070861,0.1033,24.50249481201172,26.626386642456055,0.1499,0.0361,0.1651,0.0002,0.0020,,enc
1786024125.264189,0.1933,26.741857528686523,26.795608520507812,0.1570,0.0009,0.1954,0.0003,0.0022,,enc
1786024125.272515,0.0083,24.559505462646484,24.505905151367188,0.1439,-0.0009,0.1966,0.0003,0.0022,,enc
1786024125.518250,0.2457,27.04427719116211,27.04427719116211,0.1586,0.0000,0.2356,0.0004,0.0022,,enc
1786024125.519638,0.0014,24.4692325592041,24.4692325592041,0.1435,0.0000,0.2358,0.0004,0.0022,,enc
1786024125.581888,0.0623,27.08367156982422,27.056800842285156,0.1587,-0.0005,0.2457,0.0004,0.0021,,enc
1786024125.762424,0.1805,26.9090576171875,24.75873374938965,0.1515,-0.0366,0.2730,0.0003,-0.0045,,enc
1786024125.783154,0.0207,24.77633285522461,26.792173385620117,0.1512,0.0343,0.2762,0.0003,-0.0037,,enc
1786024126.017235,0.2341,27.153831481933594,27.126956939697266,0.1592,-0.0005,0.3134,0.0001,-0.0039,,enc
1786024126.017281,0.0000,24.57636260986328,24.630115509033203,0.1443,0.0009,0.3134,0.0001,-0.0039,,enc
1786024126.091829,0.0745,27.051654815673828,26.997905731201172,0.1585,-0.0009,0.3253,0.0001,-0.0039,,enc
1786024126.262958,0.1711,24.571943283081055,24.625686645507812,0.1443,0.0009,0.3499,-0.0000,-0.0038,,enc
1786024126.292210,0.0293,27.09695816040039,27.0700740814209,0.1588,-0.0005,0.3546,-0.0000,-0.0038,,enc
1786024126.518502,0.2263,25.52800178527832,24.587841033935547,0.1469,-0.0160,0.3878,-0.0003,-0.0074,,enc
1786024126.518701,0.0002,25.902698516845703,26.897233963012695,0.1548,0.0169,0.3879,-0.0003,-0.0074,,enc
1786024126.598610,0.0799,26.937538146972656,25.996673583984375,0.1552,-0.0160,0.4003,-0.0004,-0.0087,,enc
1786024126.771559,0.1729,24.678186416625977,25.753183364868164,0.1479,0.0183,0.4258,-0.0005,-0.0055,,enc
1786024126.802771,0.0312,26.874221801757812,26.901103973388672,0.1577,0.0005,0.4308,-0.0006,-0.0055,,enc
1786024127.022688,0.2199,24.546546936035156,24.546546936035156,0.1439,0.0000,0.4624,-0.0007,-0.0055,,enc
1786024127.022745,0.0001,27.098234176635742,27.12511444091797,0.1590,0.0005,0.4624,-0.0007,-0.0055,,enc
1786024127.112027,0.0893,24.459381103515625,24.40564727783203,0.1433,-0.0009,0.4752,-0.0008,-0.0056,,enc
1786024127.272966,0.1609,27.157873153686523,27.131025314331055,0.1592,-0.0005,0.5008,-0.0010,-0.0056,,enc
1786024127.316355,0.0434,26.76383399963379,24.828929901123047,0.1513,-0.0329,0.5074,-0.0010,-0.0071,,enc
1786024127.520463,0.2041,24.802865982055664,26.791582107543945,0.1513,0.0338,0.5383,-0.0010,-0.0002,,enc
1786024127.521632,0.0012,27.09203338623047,27.118906021118164,0.1590,0.0005,0.5385,-0.0010,-0.0002,,enc
1786024127.769551,0.2479,24.552610397338867,24.498884201049805,0.1438,-0.0009,0.5741,-0.0010,-0.0004,,enc
1786024127.769630,0.0001,26.97049903869629,26.916786193847656,0.1580,-0.0009,0.5741,-0.0010,-0.0004,,enc
1786024127.825897,0.0563,24.575645446777344,24.65626335144043,0.1444,0.0014,0.5823,-0.0010,-0.0003,,enc
1786024128.020433,0.1945,25.265552520751953,28.65142822265625,0.1581,0.0576,0.6130,-0.0007,0.0109,,enc
1786024128.027947,0.0075,18.130428314208984,30.443626403808594,0.1424,0.2093,0.6141,-0.0007,0.0124,,enc
1786024128.270036,0.2421,14.106178283691406,38.174076080322266,0.1533,0.4091,0.6510,0.0035,0.1115,,enc
1786024128.270091,0.0001,10.74332046508789,38.883331298828125,0.1455,0.4783,0.6510,0.0035,0.1115,,enc
1786024128.337674,0.0676,9.19336986541748,39.89169692993164,0.1439,0.5218,0.6606,0.0049,0.1468,,enc
1786024128.520820,0.1831,9.954572677612305,42.406394958496094,0.1535,0.5516,0.6879,0.0118,0.2478,,enc
1786024128.538779,0.0180,9.662019729614258,39.234859466552734,0.1434,0.5027,0.6903,0.0124,0.2568,,enc
1786024128.771804,0.2330,11.034537315368652,43.013004302978516,0.1585,0.5436,0.7246,0.0262,0.3835,,enc
1786024128.771860,0.0001,10.254244804382324,39.346805572509766,0.1454,0.4945,0.7246,0.0262,0.3835,,enc
1786024128.844408,0.0725,11.185379028320312,43.03759002685547,0.1590,0.5414,0.7351,0.0310,0.4228,,enc
1786024129.024268,0.1799,11.892206192016602,38.608184814453125,0.1481,0.4541,0.7584,0.0439,0.5045,,enc
1786024129.048586,0.0243,15.973071098327637,38.30670166015625,0.1592,0.3796,0.7618,0.0458,0.5137,,enc
1786024129.276585,0.2280,22.814434051513672,31.913833618164062,0.1605,0.1547,0.7930,0.0648,0.5490,,enc
1786024129.276627,0.0000,23.779016494750977,24.90778923034668,0.1428,0.0192,0.7930,0.0649,0.5490,,enc
1786024129.354733,0.0781,27.630157470703125,25.533262252807617,0.1559,-0.0356,0.8034,0.0712,0.5462,,enc
1786024129.535308,0.1806,25.233749389648438,23.0557918548584,0.1416,-0.0370,0.8254,0.0843,0.5395,,enc
1786024129.558898,0.0236,27.670743942260742,25.97711753845215,0.1573,-0.0288,0.8285,0.0862,0.5388,,enc
1786024129.788383,0.2295,24.419422149658203,23.806726455688477,0.1414,-0.0104,0.8564,0.1028,0.5364,,enc
1786024129.788426,0.0000,27.0837345123291,27.05686378479004,0.1587,-0.0005,0.8564,0.1028,0.5364,,enc
1786024129.869432,0.0810,27.041654586791992,27.229755401611328,0.1591,0.0032,0.8675,0.1094,0.5367,,enc
1786024130.042921,0.1735,24.514291763305664,24.62178611755371,0.1441,0.0018,0.8890,0.1222,0.5370,,enc
1786024130.070486,0.0276,27.072887420654297,27.207265853881836,0.1592,0.0023,0.8928,0.1244,0.5371,,enc
1786024130.175997,0.1055,24.558156967163086,24.558156967163086,0.1440,0.0000,0.9058,0.1322,0.5371,,enc
1786024130.277953,0.1020,26.98966407775879,26.962791442871094,0.1582,-0.0005,0.9197,0.1404,0.5370,,enc
1786024130.379796,0.1018,25.693073272705078,24.72581672668457,0.1478,-0.0164,0.9326,0.1481,0.5354,,enc
1786024130.482014,0.1022,25.98981285095215,26.93042755126953,0.1552,0.0160,0.9463,0.1562,0.5370,,enc
1786024130.583696,0.1017,26.907148361206055,26.960908889770508,0.1579,0.0009,0.9601,0.1645,0.5371,,enc
1786024130.687462,0.1038,24.421030044555664,24.341075897216797,0.1430,-0.0014,0.9728,0.1721,0.5369,,enc
1786024130.789771,0.1023,26.995134353637695,26.941370010375977,0.1582,-0.0009,0.9867,0.1803,0.5368,,enc
1786024130.891524,0.1018,24.46068000793457,24.541345596313477,0.1437,0.0014,0.9993,0.1878,0.5370,,enc
1786024130.993226,0.1017,27.13494300842285,27.188705444335938,0.1593,0.0009,1.0132,0.1961,0.5371,,enc
