t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src
1786001654.661696,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001654.743538,0.0818,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001654.772979,0.0294,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001654.981359,0.2084,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001654.981433,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.073289,0.0919,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.233382,0.1601,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.285907,0.0525,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.503134,0.2172,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.503195,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.572593,0.0694,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.743515,0.1709,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.779421,0.0359,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.999511,0.2201,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001655.999570,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.076734,0.0772,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.247785,0.1711,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.278580,0.0308,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.499488,0.2209,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.499544,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.580787,0.0812,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.752712,0.1719,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001656.780547,0.0278,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.003478,0.2229,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.003536,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.254019,0.2505,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.254079,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.299714,0.0456,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.509308,0.2096,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.509366,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.594527,0.0852,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.756453,0.1619,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001657.811971,0.0555,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001658.011238,0.1993,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001658.011332,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001658.099870,0.0885,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001658.265681,0.1658,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001658.304703,0.0390,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
1786001658.571004,0.2663,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,359.9375,enc
