t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src
1785929990.954071,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,enc
1785929991.092081,0.1380,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.140021,0.0479,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.205020,0.0650,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.264614,0.0596,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.447365,0.1828,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.467026,0.0197,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.612055,0.1450,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929991.766635,0.1546,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.063421,0.2968,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.135114,0.0717,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.228217,0.0931,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.337508,0.1093,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.424757,0.0872,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.430672,0.0059,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.546793,0.1161,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.585411,0.0386,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.728480,0.1431,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.779147,0.0507,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.830076,0.0509,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.887676,0.0576,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929992.990243,0.1026,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929993.148566,0.1583,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929993.210268,0.0617,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,131.9375,imu
1785929993.306288,0.0960,27.008047103881836,25.567617416381836,0.1542,-0.0245,0.0148,-0.0000,-0.0011,132.0000,imu
1785929993.396760,0.0905,36.17998123168945,33.60881423950195,0.2046,-0.0437,0.0333,-0.0001,-0.0033,132.1250,imu
1785929993.501502,0.1047,35.6290168762207,33.0578498840332,0.2014,-0.0437,0.0544,-0.0000,0.0033,131.7500,imu
1785929993.602740,0.1012,35.44536209106445,33.0578498840332,0.2009,-0.0406,0.0747,0.0001,0.0044,131.6875,imu
1785929993.707334,0.1046,35.2762565612793,33.09421920776367,0.2005,-0.0371,0.0957,0.0002,0.0044,131.6875,imu
1785929993.801217,0.0939,35.2617073059082,33.0578498840332,0.2003,-0.0375,0.1145,0.0004,0.0142,131.1250,imu
1785929993.911980,0.1108,35.2617073059082,32.87419509887695,0.1998,-0.0406,0.1366,0.0010,0.0262,130.4375,imu
1785929993.976193,0.0642,11.819364547729492,11.27385425567627,0.0677,-0.0093,0.1410,0.0012,0.0425,129.5000,imu
1785929994.075673,0.0995,7.897152900695801,7.713498115539551,0.0458,-0.0031,0.1455,0.0015,0.0545,128.8125,imu
1785929994.218369,0.1427,37.45115661621094,34.5703010559082,0.2112,-0.0490,0.1756,0.0035,0.0665,128.1250,imu
1785929994.316912,0.0985,35.6290168762207,33.4251594543457,0.2025,-0.0375,0.1955,0.0051,0.0818,127.2500,imu
1785929994.385316,0.0684,35.6290168762207,33.24150466918945,0.2019,-0.0406,0.2092,0.0064,0.0938,126.5625,imu
1785929994.489773,0.1045,35.44536209106445,32.87419509887695,0.2003,-0.0437,0.2300,0.0086,0.1058,125.8750,imu
1785929994.589864,0.1001,35.2617073059082,33.0578498840332,0.2003,-0.0375,0.2499,0.0111,0.1233,124.8750,imu
1785929994.688047,0.0982,35.44536209106445,33.0578498840332,0.2009,-0.0406,0.2695,0.0138,0.1418,123.8125,imu
1785929994.784230,0.0962,35.2617073059082,32.87419509887695,0.1998,-0.0406,0.2884,0.0170,0.1636,122.5625,imu
1785929994.889291,0.1051,35.07805252075195,32.87419509887695,0.1992,-0.0375,0.3090,0.0208,0.1854,121.3125,imu
1785929994.982159,0.0929,35.07805252075195,33.0578498840332,0.1998,-0.0343,0.3272,0.0247,0.2083,120.0000,imu
1785929995.092153,0.1100,34.8943977355957,33.0578498840332,0.1992,-0.0312,0.3485,0.0297,0.2302,118.7500,imu
1785929995.189034,0.0969,34.8943977355957,32.87419509887695,0.1987,-0.0343,0.3671,0.0346,0.2574,117.1875,imu
1785929995.307297,0.1183,34.71074295043945,32.87419509887695,0.1982,-0.0312,0.3898,0.0406,0.2585,117.1250,imu
1785929995.407054,0.0998,34.7503547668457,33.1298713684082,0.1990,-0.0275,0.4090,0.0456,0.2585,117.1250,imu
